location_name,arabic_name,lat,lng,address,arabic_address
Riyadh Financial District,الحي المالي بالرياض,24.6877,46.7219,King Abdullah Financial District,حي الملك عبدالله المالي
Jeddah Historic Area,منطقة جدة التاريخية,21.4858,39.1925,Al-Balad Historic District,منطقة البلد التاريخية
NEOM Future City,مدينة نيوم المستقبلية,28.2636,34.7047,NEOM Project Area,منطقة مشروع نيوم
Qiddiya Entertainment City,مدينة القدية الترفيهية,24.5247,46.6040,Qiddiya Project,مشروع القدية
AlUla Winter Park,منتزه العلا الشتوي,26.6094,37.9267,AlUla Winter at Tantora,العلا شتاء في طنطورة
Riyadh Season Boulevard,بوليفارد موسم الرياض,24.8607,46.6348,Boulevard Riyadh City,بوليفارد الرياض سيتي
King Salman Park,حديقة الملك سلمان,24.7753,46.7383,Riyadh Green Project,مشروع الرياض الأخضر
Red Sea Project,مشروع البحر الأحمر,22.3964,38.9616,Red Sea Coast,ساحل البحر الأحمر
Amaala Resort,منتجع أمالا,25.4230,37.2061,AMAALA Ultra-Luxury Destination,وجهة أمالا فائقة الفخامة
Sharaan Nature Reserve,محمية شرعان الطبيعية,26.7335,37.8269,AlUla Sharaan Resort,منتجع شرعان بالعلا
